repository,good_first,created_at,comments,url,title,number,flags,labels
numpy/numpy,no,2025-04-23T13:53:03Z,1,https://github.com/numpy/numpy/issues/28799,Update python version in armhf tests,28799,17 - Task,17 - Task; component: CI
pytorch/pytorch,no,2025-04-17T18:03:12Z,3,https://github.com/pytorch/pytorch/issues/151591,Device Error on vmap,151591,actionable,triaged; actionable; module: vmap; module: functorch
pytorch/pytorch,no,2025-04-17T15:49:30Z,3,https://github.com/pytorch/pytorch/issues/151579,[BE] Consolidate PR labeling logic,151579,actionable,module: bootcamp; triaged; better-engineering; actionable; module: devx
ray-project/ray,no,2025-04-10T14:01:24Z,7,https://github.com/ray-project/ray/issues/52211,[Core | Serve] Compatibility issue with pydantic>=2.10,52211,community-contribution,bug; P1; serve; go; community-contribution; community-backlog
ray-project/ray,no,2025-04-09T10:56:45Z,1,https://github.com/ray-project/ray/issues/52169,Observations/Issues following steps https://docs.ray.io/en/latest/ray-contribute/development.html,52169,docs,bug; P3; dependencies; python; docs; build; community-backlog
explosion/spaCy,no,2025-04-06T12:55:26Z,2,https://github.com/explosion/spaCy/issues/13790,I can't open spaCy lessons,13790,docs,docs
gradio-app/gradio,no,2025-04-03T15:11:06Z,0,https://github.com/gradio-app/gradio/issues/10942,Broken docs for ChatInterface examples,10942,docs/website,docs/website
pytorch/pytorch,no,2025-04-02T17:26:26Z,3,https://github.com/pytorch/pytorch/issues/150557,torch.compile specific Exceptions are not serializable,150557,actionable,triaged; actionable; oncall: pt2; vllm-compile; module: vllm
mlflow/mlflow,no,2025-04-02T03:33:37Z,4,https://github.com/mlflow/mlflow/issues/15195,[FR] Support Oracle for Backend Store,15195,area/docs,enhancement; area/docs; area/tracking; area/sqlalchemy; area/server-infra
ray-project/ray,no,2025-04-01T08:18:19Z,1,https://github.com/ray-project/ray/issues/51874,[RLlib] Documentation of num_aggregator_actors_per_learner,51874,docs,P3; rllib; docs; community-backlog
mlflow/mlflow,no,2025-03-27T21:14:27Z,4,https://github.com/mlflow/mlflow/issues/15153,[FR] add support for preprocessing transformation functions in `spark_udf` before prediction,15153,area/docs,enhancement; area/docs; area/examples; area/scoring
pytorch/pytorch,no,2025-03-26T22:58:40Z,1,https://github.com/pytorch/pytorch/issues/150062,Support HOPs in fx_graph_runnable,150062,actionable,feature; triaged; actionable; oncall: pt2; module: higher order operators; module: pt2-dispatcher
ray-project/ray,no,2025-03-26T05:22:21Z,3,https://github.com/ray-project/ray/issues/51703,Outdated docs,51703,docs,question; P0; docs; core; community-backlog
numpy/numpy,no,2025-03-19T03:25:32Z,7,https://github.com/numpy/numpy/issues/28559,DOC: Many examples for np.char methods seem to instead use np.strings methods,28559,04 - Documentation,04 - Documentation
ray-project/ray,no,2025-03-18T02:46:11Z,1,https://github.com/ray-project/ray/issues/51442,[Umbrella] Revisit Ray dashboard API status code,51442,good-first-issue,good-first-issue; enhancement; dashboard; core; community-backlog
gradio-app/gradio,no,2025-03-17T19:01:43Z,4,https://github.com/gradio-app/gradio/issues/10821,Provide the CSS style names for components.,10821,docs/website,enhancement; docs/website
microsoft/autogen,no,2025-03-14T19:02:49Z,2,https://github.com/microsoft/autogen/issues/5950,Update AgBench documentation,5950,documentation,documentation
ray-project/ray,no,2025-03-11T11:05:51Z,0,https://github.com/ray-project/ray/issues/51241,[Tune] Add examples of using XGBoost with the sklearn API and add examples of regression tasks,51241,docs,triage; docs; community-backlog
ray-project/ray,no,2025-03-10T12:12:00Z,0,https://github.com/ray-project/ray/issues/51214,[Core] Ray core tasks tutorial not works. error msg: `Error Type: WORKER_DIED`,51214,docs,triage; docs; community-backlog
microsoft/autogen,no,2025-03-06T18:41:22Z,0,https://github.com/microsoft/autogen/issues/5852,Document usage of custom runtime in AgentChat,5852,documentation,documentation; proj-agentchat
ray-project/ray,no,2025-02-27T21:33:22Z,31,https://github.com/ray-project/ray/issues/50961,[Feedback] Feedback for ray + uv,50961,docs,usability; docs; core; uv
ray-project/ray,no,2025-02-27T21:17:46Z,0,https://github.com/ray-project/ray/issues/50958,[RayServe] Documentation is misleading about what services get created by a RayService,50958,docs,triage; docs; community-backlog
pytorch/pytorch,no,2025-02-26T15:00:07Z,2,https://github.com/pytorch/pytorch/issues/147973,Torch Onnx Export (with Dynamo) does not recognize `Remainder` function,147973,OSS contribution wanted,module: onnx; triaged; OSS contribution wanted; oncall: pt2
ray-project/ray,no,2025-02-25T22:03:45Z,1,https://github.com/ray-project/ray/issues/50897,New RLlib API examples,50897,rllib-docs-or-examples,enhancement; P3; rllib; rllib-docs-or-examples; community-backlog
microsoft/autogen,no,2025-02-25T17:30:35Z,2,https://github.com/microsoft/autogen/issues/5706,Separate documentation on nested chats,5706,documentation,documentation
sktime/sktime,no,2025-02-25T17:23:18Z,3,https://github.com/sktime/sktime/issues/7897,[DOC] Document or Fix Local ReadTheDocs Build Process,7897,documentation,documentation
huggingface/diffusers,no,2025-02-25T03:02:33Z,1,https://github.com/huggingface/diffusers/issues/10897,Support SkyReels-A1 for expressive portrait animation.,10897,contributions-welcome,contributions-welcome
